date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,class
3.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
3.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
3.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
6.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,frog-eye-leaf-spot
5.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
3.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
6.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
6.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
5.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,frog-eye-leaf-spot
4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1
4.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1
0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
3.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1
5.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1
1.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1
1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1
5.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,-1
6.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-1
5.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-1
2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1
3.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1
4.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1
